"GID","RegionType","RegionName","ParentID","DistrRegion","isExported","Timestamp","updated_at"
"50000","Country","Uganda","0","Sub_county","0","15/6/2026 21:21:33","15/6/2026 21:21:33"
"50001","Region","Western","50000",,"0","25/6/2026 22:48:20","25/6/2026 22:48:20"
"50002","District","Ntungamo","50001",,"0","25/6/2026 22:50:51","25/6/2026 22:50:51"
"50003","Sub_county","Ruhaama","50002",,"0","25/6/2026 22:51:55","25/6/2026 22:51:55"
"50004","Sub_county","Ruhaama East","50002",,"0","25/6/2026 22:51:55","25/6/2026 22:51:55"
"50005","Sub_county","Rweikiniro","50002",,"0","25/6/2026 22:51:55","25/6/2026 22:51:55"
"50006","Parish","IGURWA","50003",,"0","25/6/2026 22:53:45","25/6/2026 22:53:45"
"50007","Parish","KATOJO","50003",,"0","25/6/2026 22:53:45","25/6/2026 22:53:45"
"50008","Parish","RUHAAMA","50003",,"0","25/6/2026 22:53:45","25/6/2026 22:53:45"
"50009","Parish","RWENGOMA","50003",,"0","25/6/2026 22:53:45","25/6/2026 22:53:45"
"50010","Parish","RWAMWIRE","50003",,"0","25/6/2026 22:53:45","25/6/2026 22:53:45"
"50011","Parish","RWEMIRIRO","50004",,"0","25/6/2026 22:54:25","25/6/2026 22:54:25"
"50012","Parish","KISHAMI A","50004",,"0","25/6/2026 22:54:25","25/6/2026 22:54:25"
"50013","Parish","KISHAMI B","50004",,"0","25/6/2026 22:54:25","25/6/2026 22:54:25"
"50014","Parish","KAHENDA","50004",,"0","25/6/2026 22:54:25","25/6/2026 22:54:25"
"50015","Parish","MITOOMA","50004",,"0","25/6/2026 22:54:25","25/6/2026 22:54:25"
"50016","Parish","Murambi","50005",,"0","25/6/2026 22:55:04","25/6/2026 22:55:04"
"50017","Parish","Kayenje","50005",,"0","25/6/2026 22:55:04","25/6/2026 22:55:04"
"50018","Village","NYAMUGANDIKA","50006",,"0","25/6/2026 22:56:05","25/6/2026 22:56:05"
"50019","Village","IGURWA","50006",,"0","25/6/2026 22:56:05","25/6/2026 22:56:05"
"50020","Village","KEMIRONKO","50006",,"0","25/6/2026 22:56:05","25/6/2026 22:56:05"
"50021","Village","KAHENDA I","50014",,"0","25/6/2026 22:56:31","25/6/2026 22:56:31"
"50022","Village","KAHENDA II","50014",,"0","25/6/2026 22:56:31","25/6/2026 22:56:31"
"50023","Village","KANGARAME","50014",,"0","25/6/2026 22:56:31","25/6/2026 22:56:31"
"50024","Village","KAGYEMU","50014",,"0","25/6/2026 22:56:31","25/6/2026 22:56:31"
"50025","Village","ORUTEZO","50014",,"0","25/6/2026 22:56:31","25/6/2026 22:56:31"
"50026","Village","RWANYAMUSHAAKA","50014",,"0","25/6/2026 22:56:31","25/6/2026 22:56:31"
"50027","Village","KYAKASHAMBARA","50014",,"0","25/6/2026 22:56:31","25/6/2026 22:56:31"
"50028","Village","MIYENJE","50014",,"0","25/6/2026 22:56:31","25/6/2026 22:56:31"
"50029","Village","KYANYAMUGAMBA","50014",,"0","25/6/2026 22:56:31","25/6/2026 22:56:31"
"50030","Village","OMUKIKOONA","50014",,"0","25/6/2026 22:56:31","25/6/2026 22:56:31"
"50031","Village","KYARUTEGA","50007",,"0","25/6/2026 22:57:12","25/6/2026 22:57:12"
"50032","Village","MUSHASHA","50007",,"0","25/6/2026 22:57:12","25/6/2026 22:57:12"
"50033","Village","NYAKABUNGO","50007",,"0","25/6/2026 22:57:12","25/6/2026 22:57:12"
"50034","Village","NYAKISHOJWA","50007",,"0","25/6/2026 22:57:12","25/6/2026 22:57:12"
"50035","Village","OMUGYERA","50007",,"0","25/6/2026 22:57:12","25/6/2026 22:57:12"
"50036","Village","ORUSHENYI","50007",,"0","25/6/2026 22:57:12","25/6/2026 22:57:12"
"50037","Village","RUBINGO","50007",,"0","25/6/2026 22:57:12","25/6/2026 22:57:12"
"50038","Village","RWENCWERA","50007",,"0","25/6/2026 22:57:12","25/6/2026 22:57:12"
"50039","Village","KAGONGI","50017",,"0","25/6/2026 23:00:12","25/6/2026 23:00:12"
"50040","Village","KATAHOOKA","50017",,"0","25/6/2026 23:00:12","25/6/2026 23:00:12"
"50041","Village","KATWE","50017",,"0","25/6/2026 23:00:12","25/6/2026 23:00:12"
"50042","Village","KAYENJE","50017",,"0","25/6/2026 23:00:12","25/6/2026 23:00:12"
"50043","Village","KIBARE","50017",,"0","25/6/2026 23:00:12","25/6/2026 23:00:12"
